Machine_Name,Machine_Status,Start_Dttm,End_Dttm,Duration,Error_Code,Stop_Reason
4F_T#27,Stop,2021-10-14 16:28:11,2021-10-14 16:28:45,34.0,N.A,Pending load
4F_T#27,Stop,2021-10-14 20:01:57,2021-10-14 20:10:54,537.0,N.A,Pending load
4F_T#27,Stop,2021-10-14 23:49:31,2021-10-14 23:51:08,43.0,N.A,NORMALCLEANING
4F_T#27,Stop,2021-10-14 23:50:14,2021-10-14 23:50:14,54.0,N.A,MA Waiting
4F_T#27,Stop,2021-10-15 06:32:11,2021-10-15 06:36:44,254.0,N.A,NORMALCLEANING
4F_T#27,Stop,2021-10-15 06:36:25,2021-10-15 06:36:25,19.0,N.A,MA Waiting
4F_T#27,Run,2021-10-15 06:36:44,2021-10-15 08:22:07,6323.0,N.A,N.A
4F_T#27,Stop,2021-10-15 08:22:07,2021-10-15 08:22:14,7.0,N.A,MA Waiting
4F_T#27,Stop,2021-10-15 10:41:42,2021-10-15 10:43:59,119.0,N.A,NORMALCLEANING
4F_T#27,Stop,2021-10-15 10:43:41,2021-10-15 10:43:41,18.0,N.A,MA Waiting
4F_T#27,Run,2021-10-15 10:43:59,2021-10-15 12:10:55,5216.0,N.A,N.A
4F_T#27,Stop,2021-10-15 12:10:55,2021-10-15 12:11:03,8.0,N.A,MA Waiting
4F_T#27,Run,2021-10-15 17:14:31,2021-10-15 18:05:16,3045.0,N.A,N.A
4F_T#27,Stop,2021-10-15 18:05:16,2021-10-15 18:05:28,12.0,N.A,MA Waiting
4F_T#27,Stop,2021-10-16 00:19:41,2021-10-16 00:28:30,444.0,N.A,NORMALCLEANING
4F_T#27,Stop,2021-10-16 00:27:05,2021-10-16 00:27:05,85.0,N.A,MA Waiting
4F_T#27,Stop,2021-10-16 00:29:02,2021-10-16 00:29:18,16.0,N.A,Pending load
4F_T#27,Stop,2021-10-16 16:12:23,2021-10-16 16:22:43,614.0,N.A,NORMALCLEANING
4F_T#27,Stop,2021-10-16 16:22:37,2021-10-16 16:22:37,6.0,N.A,MA Waiting
4F_T#27,Run,2021-10-16 16:22:43,2021-10-16 18:42:49,8406.0,N.A,N.A
4F_T#27,Stop,2021-10-16 18:42:49,2021-10-16 18:43:01,12.0,N.A,MA Waiting
