Machine_Name,Machine_Status,Start_Dttm,End_Dttm,Duration,Error_Code,Stop_Reason
2F_T#24,Stop,2021-10-15 07:28:16,2021-10-15 07:36:28,194.0,N.A,NORMALCLEANING
2F_T#24,Stop,2021-10-15 07:31:30,2021-10-15 07:31:30,298.0,N.A,MA Waiting
2F_T#24,Stop,2021-10-15 07:53:45,2021-10-15 08:03:58,613.0,N.A,Pending load
2F_T#24,Stop,2021-10-15 08:04:12,2021-10-15 08:04:19,7.0,N.A,Pending load
2F_T#24,Stop,2021-10-15 09:11:25,2021-10-15 09:12:19,54.0,N.A,Pending load
2F_T#24,Stop,2021-10-15 12:59:53,2021-10-15 13:00:47,54.0,N.A,Pending load
2F_T#24,Stop,2021-10-15 17:27:37,2021-10-15 17:42:21,748.0,N.A,NORMALCLEANING
2F_T#24,Stop,2021-10-15 17:40:05,2021-10-15 17:40:05,136.0,N.A,MA Waiting
2F_T#24,Stop,2021-10-15 19:51:37,2021-10-15 19:51:49,12.0,N.A,Pending load
2F_T#24,Stop,2021-10-15 22:56:20,2021-10-15 23:16:23,1128.0,N.A,NORMALCLEANING
2F_T#24,Stop,2021-10-15 23:15:08,2021-10-15 23:15:08,75.0,N.A,MA Waiting
2F_T#24,Stop,2021-10-16 05:44:54,2021-10-16 05:45:24,30.0,N.A,Pending load
2F_T#24,Stop,2021-10-16 07:02:35,2021-10-16 08:43:18,6009.0,N.A,NORMALCLEANING
2F_T#24,Stop,2021-10-16 08:42:44,2021-10-16 08:42:44,34.0,N.A,MA Waiting
2F_T#24,Stop,2021-10-16 17:09:40,2021-10-16 17:27:57,1052.0,N.A,NORMALCLEANING
2F_T#24,Stop,2021-10-16 17:27:12,2021-10-16 17:27:12,45.0,N.A,MA Waiting
2F_T#24,Stop,2021-10-16 23:25:58,2021-10-16 23:28:43,158.0,N.A,NORMALCLEANING
2F_T#24,Stop,2021-10-16 23:28:36,2021-10-16 23:28:36,7.0,N.A,MA Waiting
2F_T#24,Stop,2021-10-17 00:39:06,2021-10-17 00:40:12,66.0,N.A,Pending load
2F_T#24,Stop,2021-10-17 06:52:24,2021-10-17 07:00:06,449.0,N.A,NORMALCLEANING
2F_T#24,Stop,2021-10-17 06:59:53,2021-10-17 06:59:53,13.0,N.A,MA Waiting
2F_T#24,Stop,2021-10-17 07:07:53,2021-10-17 07:15:04,431.0,N.A,Pending load
