1,2,3,4,5,6,7,8,9,10
2021-10-15 00:00:43, , , ,RUNNING,STARTED,20211015000043,,,
2021-10-15 00:30:30, , , ,IDLE/STOP,STARTED,20211015003030,,,
2021-10-15 00:30:40, , , ,READY,STARTED,20211015003040,,,
2021-10-15 00:33:58, , , ,RUNNING,STARTED,20211015003358,,,
2021-10-15 01:08:10, , , ,IDLE/STOP,STARTED,20211015010810,,,
2021-10-15 01:08:17, , , ,READY,STARTED,20211015010817,,,
2021-10-15 01:11:43, , , ,RUNNING,STARTED,20211015011143,,,
2021-10-15 01:45:47, , , ,IDLE/STOP,STARTED,20211015014547,,,
2021-10-15 01:46:02, , , ,READY,STARTED,20211015014602,,,
2021-10-15 01:56:23, , , ,RUNNING,STARTED,20211015015623,,,
2021-10-15 01:56:32, , , ,IDLE/STOP,STARTED,20211015015632,,,
2021-10-15 01:56:38, , , ,READY,STARTED,20211015015638,,,
2021-10-15 01:57:05, , , ,RUNNING,STARTED,20211015015705,,,
2021-10-15 02:26:35, , , ,IDLE/STOP,STARTED,20211015022635,,,
2021-10-15 02:26:47, , , ,READY,STARTED,20211015022647,,,
2021-10-15 02:26:56, , , ,RUNNING,STARTED,20211015022656,,,
2021-10-15 03:01:07, , , ,IDLE/STOP,STARTED,20211015030107,,,
2021-10-15 03:01:17, , , ,READY,STARTED,20211015030117,,,
2021-10-15 03:01:28, , , ,RUNNING,STARTED,20211015030128,,,
2021-10-15 03:14:29, , , ,RUNNING,STARTED,20211015031429,,,
2021-10-15 03:37:59, , , ,RUNNING,STARTED,20211015033759,,,
2021-10-15 04:17:48, , , ,ERROR,STARTED,20211015041748,2025, ,LOADERL/FMISPLACE
2021-10-15 04:17:57, , , ,RUNNING,STARTED,20211015041757,,,
2021-10-15 04:21:18, , , ,ERROR,STARTED,20211015042118,2025, ,LOADERL/FMISPLACE
2021-10-15 04:21:51, , , ,RUNNING,STARTED,20211015042151,,,
2021-10-15 04:41:42, , , ,ERROR,STARTED,20211015044142,2025, ,LOADERL/FMISPLACE
2021-10-15 04:42:46, , , ,RUNNING,STARTED,20211015044246,,,
2021-10-15 04:56:00, , , ,ERROR,STARTED,20211015045600,2025, ,LOADERL/FMISPLACE
2021-10-15 04:56:06, , , ,RUNNING,STARTED,20211015045606,,,
2021-10-15 04:59:27, , , ,ERROR,STARTED,20211015045927,2025, ,LOADERL/FMISPLACE
2021-10-15 04:59:39, , , ,RUNNING,STARTED,20211015045939,,,
2021-10-15 05:24:30, , , ,RUNNING,STARTED,20211015052430,,,
2021-10-15 05:26:09, , , ,ERROR,STARTED,20211015052609,2025, ,LOADERL/FMISPLACE
2021-10-15 05:26:18, , , ,RUNNING,STARTED,20211015052618,,,
2021-10-15 05:54:16, , , ,RUNNING,STARTED,20211015055416,,,
2021-10-15 06:02:36, , , ,ERROR,STARTED,20211015060236,2025, ,LOADERL/FMISPLACE
2021-10-15 06:02:42, , , ,RUNNING,STARTED,20211015060242,,,
2021-10-15 06:35:43, , , ,ERROR,STARTED,20211015063543,2025, ,LOADERL/FMISPLACE
2021-10-15 06:35:50, , , ,RUNNING,STARTED,20211015063550,,,
2021-10-15 06:39:13, , , ,ERROR,STARTED,20211015063913,2025, ,LOADERL/FMISPLACE
2021-10-15 06:39:22, , , ,ERROR,STARTED,20211015063922,2025, ,LOADERL/FMISPLACE
2021-10-15 06:39:28, , , ,RUNNING,STARTED,20211015063928,,,
2021-10-15 06:44:29, , , ,RUNNING,STARTED,20211015064429,,,
2021-10-15 06:52:22, , , ,IDLE/STOP,STARTED,20211015065222,,,
2021-10-15 06:52:37, , , ,READY,STARTED,20211015065237,,,
2021-10-15 06:53:49, , , ,SHEETCLEANING,STARTED,20211015065349,,,
2021-10-15 07:10:06, , , ,SHEETCLEANING,STARTED,20211015071006,,,
2021-10-15 07:13:30, , , ,NORMALCLEANING,STARTED,20211015071330,,,
2021-10-15 07:28:16, , , ,NORMALCLEANING,STARTED,20211015072816,,,
2021-10-15 07:31:30, , , ,READY,STARTED,20211015073130,,,
2021-10-15 07:36:28, , , ,RUNNING,STARTED,20211015073628,,,
2021-10-15 07:39:03, , , ,IDLE/STOP,STARTED,20211015073903,,,
2021-10-15 07:39:15, , , ,RUNNING,STARTED,20211015073915,,,
2021-10-15 07:42:07, , , ,IDLE/STOP,STARTED,20211015074207,,,
2021-10-15 07:42:18, , , ,READY,STARTED,20211015074218,,,
2021-10-15 07:42:37, , , ,RUNNING,STARTED,20211015074237,,,
2021-10-15 07:50:49, , , ,RUNNING,STARTED,20211015075049,,,
2021-10-15 07:53:45, , , ,READY,STARTED,20211015075345,,,
2021-10-15 08:03:58, , , ,RUNNING,STARTED,20211015080358,,,
2021-10-15 08:04:12, , , ,READY,STARTED,20211015080412,,,
2021-10-15 08:04:19, , , ,RUNNING,STARTED,20211015080419,,,
2021-10-15 08:07:19, , , ,ERROR,STARTED,20211015080719,2025, ,LOADERL/FMISPLACE
2021-10-15 08:08:20, , , ,RUNNING,STARTED,20211015080820,,,
2021-10-15 08:08:31, , , ,ERROR,STARTED,20211015080831,2025, ,LOADERL/FMISPLACE
2021-10-15 08:09:15, , , ,READY,STARTED,20211015080915,,,
2021-10-15 08:09:23, , , ,RUNNING,STARTED,20211015080923,,,
2021-10-15 08:15:58, , , ,ERROR,STARTED,20211015081558,2025, ,LOADERL/FMISPLACE
2021-10-15 08:21:15, , , ,READY,STARTED,20211015082115,,,
2021-10-15 08:21:22, , , ,RUNNING,STARTED,20211015082122,,,
2021-10-15 08:31:13, , , ,ERROR,STARTED,20211015083113,2025, ,LOADERL/FMISPLACE
2021-10-15 08:31:25, , , ,RUNNING,STARTED,20211015083125,,,
2021-10-15 08:37:46, , , ,IDLE/STOP,STARTED,20211015083746,,,
2021-10-15 08:37:57, , , ,READY,STARTED,20211015083757,,,
2021-10-15 09:11:10, , , ,RUNNING,STARTED,20211015091110,,,
2021-10-15 09:11:25, , , ,READY,STARTED,20211015091125,,,
2021-10-15 09:12:19, , , ,RUNNING,STARTED,20211015091219,,,
2021-10-15 09:18:46, , , ,ERROR,STARTED,20211015091846,2025, ,LOADERL/FMISPLACE
2021-10-15 09:19:49, , , ,RUNNING,STARTED,20211015091949,,,
2021-10-15 09:23:13, , , ,ERROR,STARTED,20211015092313,2025, ,LOADERL/FMISPLACE
2021-10-15 09:26:34, , , ,RUNNING,STARTED,20211015092634,,,
2021-10-15 09:34:36, , , ,IDLE/STOP,STARTED,20211015093436,,,
2021-10-15 09:34:44, , , ,READY,STARTED,20211015093444,,,
2021-10-15 11:49:07, , , ,RUNNING,STARTED,20211015114907,,,
2021-10-15 12:11:55, , , ,ERROR,STARTED,20211015121155,2025, ,LOADERL/FMISPLACE
2021-10-15 12:12:01, , , ,RUNNING,STARTED,20211015121201,,,
2021-10-15 12:15:31, , , ,ERROR,STARTED,20211015121531,2025, ,LOADERL/FMISPLACE
2021-10-15 12:15:46, , , ,RUNNING,STARTED,20211015121546,,,
2021-10-15 12:29:10, , , ,ERROR,STARTED,20211015122910,2025, ,LOADERL/FMISPLACE
2021-10-15 12:29:20, , , ,RUNNING,STARTED,20211015122920,,,
2021-10-15 12:39:16, , , ,ERROR,STARTED,20211015123916,2025, ,LOADERL/FMISPLACE
2021-10-15 12:40:43, , , ,READY,STARTED,20211015124043,,,
2021-10-15 12:40:50, , , ,RUNNING,STARTED,20211015124050,,,
2021-10-15 12:44:07, , , ,ERROR,STARTED,20211015124407,2025, ,LOADERL/FMISPLACE
2021-10-15 12:44:16, , , ,RUNNING,STARTED,20211015124416,,,
2021-10-15 12:47:46, , , ,ERROR,STARTED,20211015124746,2021, ,LOADERL/FCLAMPER
2021-10-15 12:48:04, , , ,ERROR,STARTED,20211015124804,2027, ,LOADERTABCOUNT
2021-10-15 12:48:16, , , ,ERROR,STARTED,20211015124816,2021, ,LOADERL/FCLAMPER
2021-10-15 12:50:31, , , ,READY,STARTED,20211015125031,,,
2021-10-15 12:50:38, , , ,RUNNING,STARTED,20211015125038,,,
2021-10-15 12:57:46, , , ,ERROR,STARTED,20211015125746,2025, ,LOADERL/FMISPLACE
2021-10-15 12:59:08, , , ,RUNNING,STARTED,20211015125908,,,
2021-10-15 12:59:53, , , ,READY,STARTED,20211015125953,,,
2021-10-15 13:00:47, , , ,RUNNING,STARTED,20211015130047,,,
2021-10-15 13:00:55, , , ,ERROR,STARTED,20211015130055,2025, ,LOADERL/FMISPLACE
2021-10-15 13:01:04, , , ,READY,STARTED,20211015130104,,,
2021-10-15 13:01:19, , , ,ERROR,STARTED,20211015130119,2026, ,LOADERL/FCLAMPMISS
2021-10-15 13:01:28, , , ,READY,STARTED,20211015130128,,,
2021-10-15 13:01:59, , , ,IDLE/STOP,STARTED,20211015130159,,,
2021-10-15 13:02:11, , , ,RUNNING,STARTED,20211015130211,,,
2021-10-15 13:04:28, , , ,IDLE/STOP,STARTED,20211015130428,,,
2021-10-15 13:04:37, , , ,READY,STARTED,20211015130437,,,
2021-10-15 13:34:46, , , ,RUNNING,STARTED,20211015133446,,,
2021-10-15 14:08:53, , , ,IDLE/STOP,STARTED,20211015140853,,,
2021-10-15 14:09:05, , , ,READY,STARTED,20211015140905,,,
2021-10-15 14:34:05, , , ,NORMALCLEANING,STARTED,20211015143405,,,
2021-10-15 15:20:57, , , ,ERROR,STARTED,20211015152057,0, ,P-2(12)TR.PRESSURE(U)
2021-10-15 15:21:03, , , ,NORMALCLEANING,STARTED,20211015152103,,,
2021-10-15 15:27:17, , , ,NORMALCLEANING,STARTED,20211015152717,,,
2021-10-15 15:45:11, , , ,NORMALCLEANING,STARTED,20211015154511,,,
2021-10-15 16:34:40, , , ,NORMALCLEANING,STARTED,20211015163440,,,
2021-10-15 16:50:42, , , ,SHEETCLEANING,STARTED,20211015165042,,,
2021-10-15 17:02:16, , , ,SHEETCLEANING,STARTED,20211015170216,,,
2021-10-15 17:22:52, , , ,NORMALCLEANING,STARTED,20211015172252,,,
2021-10-15 17:27:37, , , ,NORMALCLEANING,STARTED,20211015172737,,,
2021-10-15 17:40:05, , , ,READY,STARTED,20211015174005,,,
2021-10-15 17:42:21, , , ,RUNNING,STARTED,20211015174221,,,
2021-10-15 18:16:22, , , ,IDLE/STOP,STARTED,20211015181622,,,
2021-10-15 18:16:34, , , ,READY,STARTED,20211015181634,,,
2021-10-15 18:24:19, , , ,RUNNING,STARTED,20211015182419,,,
2021-10-15 18:37:07, , , ,READY,STARTED,20211015183707,,,
2021-10-15 18:49:35, , , ,READY,STARTED,20211015184935,,,
2021-10-15 18:49:40, , , ,RUNNING,STARTED,20211015184940,,,
2021-10-15 18:58:20, , , ,ERROR,STARTED,20211015185820,2054, ,UNLOADERL/FCLAMPMISS
2021-10-15 18:58:43, , , ,ERROR,STARTED,20211015185843,2075, ,PICKUPL/FCLAMPMISS2
2021-10-15 18:58:52, , , ,ERROR,STARTED,20211015185852,2054, ,UNLOADERL/FCLAMPMISS
2021-10-15 19:00:13, , , ,READY,STARTED,20211015190013,,,
2021-10-15 19:00:20, , , ,RUNNING,STARTED,20211015190020,,,
2021-10-15 19:51:19, , , ,IDLE/STOP,STARTED,20211015195119,,,
2021-10-15 19:51:28, , , ,RUNNING,STARTED,20211015195128,,,
2021-10-15 19:51:37, , , ,READY,STARTED,20211015195137,,,
2021-10-15 19:51:49, , , ,RUNNING,STARTED,20211015195149,,,
2021-10-15 20:25:56, , , ,IDLE/STOP,STARTED,20211015202556,,,
2021-10-15 20:26:07, , , ,READY,STARTED,20211015202607,,,
2021-10-15 20:28:21, , , ,RUNNING,STARTED,20211015202821,,,
2021-10-15 20:59:11, , , ,RUNNING,STARTED,20211015205911,,,
2021-10-15 21:42:11, , , ,IDLE/STOP,STARTED,20211015214211,,,
2021-10-15 21:42:17, , , ,READY,STARTED,20211015214217,,,
2021-10-15 21:42:27, , , ,RUNNING,STARTED,20211015214227,,,
2021-10-15 22:16:32, , , ,IDLE/STOP,STARTED,20211015221632,,,
2021-10-15 22:16:39, , , ,READY,STARTED,20211015221639,,,
2021-10-15 22:17:14, , , ,RUNNING,STARTED,20211015221714,,,
2021-10-15 22:22:59, , , ,RUNNING,STARTED,20211015222259,,,
2021-10-15 22:39:47, , , ,IDLE/STOP,STARTED,20211015223947,,,
2021-10-15 22:39:59, , , ,READY,STARTED,20211015223959,,,
2021-10-15 22:46:35, , , ,SHEETCLEANING,STARTED,20211015224635,,,
2021-10-15 22:56:20, , , ,NORMALCLEANING,STARTED,20211015225620,,,
2021-10-15 23:15:08, , , ,READY,STARTED,20211015231508,,,
2021-10-15 23:16:23, , , ,RUNNING,STARTED,20211015231623,,,
2021-10-15 23:34:59, , , ,RUNNING,STARTED,20211015233459,,,
2021-10-15 23:39:32, , , ,IDLE/STOP,STARTED,20211015233932,,,
2021-10-15 23:39:47, , , ,READY,STARTED,20211015233947,,,
