1,2,3,4,5,6,7,8,9,10
2021-10-15 00:02:28, , , ,READY,STARTED,20211015000228,,,
2021-10-15 00:02:40, , , ,RUNNING,STARTED,20211015000240,,,
2021-10-15 00:06:09, , , ,IDLE/STOP,STARTED,20211015000609,,,
2021-10-15 00:06:22, , , ,READY,STARTED,20211015000622,,,
2021-10-15 00:08:28, , , ,RUNNING,STARTED,20211015000828,,,
2021-10-15 00:11:49, , , ,RUNNING,STARTED,20211015001149,,,
2021-10-15 00:16:31, , , ,RUNNING,STARTED,20211015001631,,,
2021-10-15 00:25:31, , , ,RUNNING,STARTED,20211015002531,,,
2021-10-15 00:43:08, , , ,RUNNING,STARTED,20211015004308,,,
2021-10-15 00:53:23, , , ,RUNNING,STARTED,20211015005323,,,
2021-10-15 00:53:56, , , ,RUNNING,STARTED,20211015005356,,,
2021-10-15 00:55:29, , , ,ERROR,STARTED,20211015005529,2009, ,L/FPUSHER
2021-10-15 00:58:35, , , ,READY,STARTED,20211015005835,,,
2021-10-15 00:58:41, , , ,RUNNING,STARTED,20211015005841,,,
2021-10-15 00:59:46, , , ,RUNNING,STARTED,20211015005946,,,
2021-10-15 01:01:45, , , ,RUNNING,STARTED,20211015010145,,,
2021-10-15 01:09:21, , , ,RUNNING,STARTED,20211015010921,,,
2021-10-15 01:20:11, , , ,RUNNING,STARTED,20211015012011,,,
2021-10-15 01:22:23, , , ,RUNNING,STARTED,20211015012223,,,
2021-10-15 01:28:59, , , ,RUNNING,STARTED,20211015012859,,,
2021-10-15 01:32:44, , , ,RUNNING,STARTED,20211015013244,,,
2021-10-15 01:34:26, , , ,RUNNING,STARTED,20211015013426,,,
2021-10-15 01:35:27, , , ,IDLE/STOP,STARTED,20211015013527,,,
2021-10-15 01:35:41, , , ,READY,STARTED,20211015013541,,,
2021-10-15 01:37:18, , , ,RUNNING,STARTED,20211015013718,,,
2021-10-15 01:41:50, , , ,RUNNING,STARTED,20211015014150,,,
2021-10-15 01:46:59, , , ,RUNNING,STARTED,20211015014659,,,
2021-10-15 01:49:17, , , ,RUNNING,STARTED,20211015014917,,,
2021-10-15 01:51:15, , , ,RUNNING,STARTED,20211015015115,,,
2021-10-15 01:52:02, , , ,RUNNING,STARTED,20211015015202,,,
2021-10-15 01:58:38, , , ,RUNNING,STARTED,20211015015838,,,
2021-10-15 02:17:02, , , ,ERROR,STARTED,20211015021702,2044, ,INDEXERROR
2021-10-15 02:25:57, , , ,RUNNING,STARTED,20211015022557,,,
2021-10-15 02:29:41, , , ,ERROR,STARTED,20211015022941,2044, ,INDEXERROR
2021-10-15 02:34:39, , , ,READY,STARTED,20211015023439,,,
2021-10-15 02:43:39, , , ,RUNNING,STARTED,20211015024339,,,
2021-10-15 02:44:14, , , ,READY,STARTED,20211015024414,,,
2021-10-15 02:45:29, , , ,READY,STARTED,20211015024529,,,
2021-10-15 02:45:36, , , ,RUNNING,STARTED,20211015024536,,,
2021-10-15 02:48:28, , , ,RUNNING,STARTED,20211015024828,,,
2021-10-15 02:54:49, , , ,RUNNING,STARTED,20211015025449,,,
2021-10-15 03:02:56, , , ,RUNNING,STARTED,20211015030256,,,
2021-10-15 03:05:31, , , ,RUNNING,STARTED,20211015030531,,,
2021-10-15 03:11:05, , , ,RUNNING,STARTED,20211015031105,,,
2021-10-15 03:16:54, , , ,RUNNING,STARTED,20211015031654,,,
2021-10-15 03:19:59, , , ,IDLE/STOP,STARTED,20211015031959,,,
2021-10-15 03:23:59, , , ,READY,STARTED,20211015032359,,,
2021-10-15 03:36:59, , , ,READY,STARTED,20211015033659,,,
2021-10-15 03:37:05, , , ,RUNNING,STARTED,20211015033705,,,
2021-10-15 03:42:14, , , ,RUNNING,STARTED,20211015034214,,,
2021-10-15 03:48:51, , , ,IDLE/STOP,STARTED,20211015034851,,,
2021-10-15 03:49:01, , , ,RUNNING,STARTED,20211015034901,,,
2021-10-15 03:49:03, , , ,READY,STARTED,20211015034903,,,
2021-10-15 03:51:15, , , ,RUNNING,STARTED,20211015035115,,,
2021-10-15 03:54:17, , , ,RUNNING,STARTED,20211015035417,,,
2021-10-15 04:11:14, , , ,RUNNING,STARTED,20211015041114,,,
2021-10-15 04:14:20, , , ,ERROR,STARTED,20211015041420,2009, ,L/FPUSHER
2021-10-15 04:14:56, , , ,RUNNING,STARTED,20211015041456,,,
2021-10-15 04:15:11, , , ,ERROR,STARTED,20211015041511,2011, ,L/FFEEDER
2021-10-15 04:16:08, , , ,RUNNING,STARTED,20211015041608,,,
2021-10-15 04:16:23, , , ,ERROR,STARTED,20211015041623,2011, ,L/FFEEDER
2021-10-15 04:17:11, , , ,RUNNING,STARTED,20211015041711,,,
2021-10-15 04:20:14, , , ,RUNNING,STARTED,20211015042014,,,
2021-10-15 04:21:56, , , ,RUNNING,STARTED,20211015042156,,,
2021-10-15 04:22:12, , , ,IDLE/STOP,STARTED,20211015042212,,,
2021-10-15 04:22:19, , , ,READY,STARTED,20211015042219,,,
2021-10-15 04:24:15, , , ,RUNNING,STARTED,20211015042415,,,
2021-10-15 04:28:24, , , ,RUNNING,STARTED,20211015042824,,,
2021-10-15 04:33:30, , , ,RUNNING,STARTED,20211015043330,,,
2021-10-15 04:35:40, , , ,RUNNING,STARTED,20211015043540,,,
2021-10-15 04:36:05, , , ,RUNNING,STARTED,20211015043605,,,
2021-10-15 04:41:47, , , ,ERROR,STARTED,20211015044147,2009, ,L/FPUSHER
2021-10-15 04:43:11, , , ,RUNNING,STARTED,20211015044311,,,
2021-10-15 04:48:24, , , ,RUNNING,STARTED,20211015044824,,,
2021-10-15 04:49:27, , , ,RUNNING,STARTED,20211015044927,,,
2021-10-15 04:51:27, , , ,RUNNING,STARTED,20211015045127,,,
2021-10-15 04:51:41, , , ,ERROR,STARTED,20211015045141,2009, ,L/FPUSHER
2021-10-15 04:53:36, , , ,READY,STARTED,20211015045336,,,
2021-10-15 04:53:42, , , ,RUNNING,STARTED,20211015045342,,,
2021-10-15 04:55:05, , , ,IDLE/STOP,STARTED,20211015045505,,,
2021-10-15 04:55:19, , , ,READY,STARTED,20211015045519,,,
2021-10-15 05:00:51, , , ,SHEETCLEANING,STARTED,20211015050051,,,
2021-10-15 05:03:21, , , ,RUNNING,STARTED,20211015050321,,,
2021-10-15 05:03:56, , , ,RUNNING,STARTED,20211015050356,,,
2021-10-15 05:04:45, , , ,RUNNING,STARTED,20211015050445,,,
2021-10-15 05:06:27, , , ,RUNNING,STARTED,20211015050627,,,
2021-10-15 05:14:41, , , ,SHEETCLEANING,STARTED,20211015051441,,,
2021-10-15 05:14:55, , , ,SHEETCLEANING,STARTED,20211015051455,,,
2021-10-15 05:17:55, , , ,NORMALCLEANING,STARTED,20211015051755,,,
2021-10-15 05:19:12, , , ,RUNNING,STARTED,20211015051912,,,
2021-10-15 05:20:50, , , ,RUNNING,STARTED,20211015052050,,,
2021-10-15 05:22:06, , , ,ERROR,STARTED,20211015052206,2042, ,TABPARTSFEEDER
2021-10-15 05:22:51, , , ,NORMALCLEANING,STARTED,20211015052251,,,
2021-10-15 05:26:43, , , ,RUNNING,STARTED,20211015052643,,,
2021-10-15 05:33:48, , , ,RUNNING,STARTED,20211015053348,,,
2021-10-15 05:48:36, , , ,NORMALCLEANING,STARTED,20211015054836,,,
2021-10-15 05:55:06, , , ,ERROR,STARTED,20211015055506,2009, ,L/FPUSHER
2021-10-15 05:55:26, , , ,RUNNING,STARTED,20211015055526,,,
2021-10-15 06:04:39, , , ,RUNNING,STARTED,20211015060439,,,
2021-10-15 06:07:19, , , ,RUNNING,STARTED,20211015060719,,,
2021-10-15 06:09:23, , , ,RUNNING,STARTED,20211015060923,,,
2021-10-15 06:15:12, , , ,RUNNING,STARTED,20211015061512,,,
2021-10-15 06:15:33, , , ,RUNNING,STARTED,20211015061533,,,
2021-10-15 06:24:04, , , ,RUNNING,STARTED,20211015062404,,,
2021-10-15 06:27:51, , , ,RUNNING,STARTED,20211015062751,,,
2021-10-15 06:29:30, , , ,RUNNING,STARTED,20211015062930,,,
2021-10-15 06:31:45, , , ,IDLE/STOP,STARTED,20211015063145,,,
2021-10-15 06:31:57, , , ,READY,STARTED,20211015063157,,,
2021-10-15 06:33:07, , , ,NORMALCLEANING,STARTED,20211015063307,,,
2021-10-15 06:38:38, , , ,SHEETCLEANING,STARTED,20211015063838,,,
2021-10-15 06:48:16, , , ,SHEETCLEANING,STARTED,20211015064816,,,
2021-10-15 06:48:25, , , ,SHEETCLEANING,STARTED,20211015064825,,,
2021-10-15 06:53:29, , , ,SHEETCLEANING,STARTED,20211015065329,,,
2021-10-15 06:53:37, , , ,SHEETCLEANING,STARTED,20211015065337,,,
2021-10-15 07:00:40, , , ,NORMALCLEANING,STARTED,20211015070040,,,
2021-10-15 07:14:48, , , ,READY,STARTED,20211015071448,,,
2021-10-15 07:15:55, , , ,RUNNING,STARTED,20211015071555,,,
2021-10-15 07:22:39, , , ,RUNNING,STARTED,20211015072239,,,
2021-10-15 07:25:56, , , ,RUNNING,STARTED,20211015072556,,,
2021-10-15 07:29:50, , , ,RUNNING,STARTED,20211015072950,,,
2021-10-15 07:42:24, , , ,RUNNING,STARTED,20211015074224,,,
2021-10-15 07:46:18, , , ,RUNNING,STARTED,20211015074618,,,
2021-10-15 07:46:45, , , ,IDLE/STOP,STARTED,20211015074645,,,
2021-10-15 07:46:53, , , ,READY,STARTED,20211015074653,,,
2021-10-15 07:52:59, , , ,RUNNING,STARTED,20211015075259,,,
2021-10-15 07:56:37, , , ,RUNNING,STARTED,20211015075637,,,
2021-10-15 08:02:03, , , ,RUNNING,STARTED,20211015080203,,,
2021-10-15 08:06:18, , , ,RUNNING,STARTED,20211015080618,,,
2021-10-15 08:08:19, , , ,RUNNING,STARTED,20211015080819,,,
2021-10-15 08:17:50, , , ,RUNNING,STARTED,20211015081750,,,
2021-10-15 08:20:50, , , ,IDLE/STOP,STARTED,20211015082050,,,
2021-10-15 08:21:03, , , ,READY,STARTED,20211015082103,,,
2021-10-15 08:25:10, , , ,RUNNING,STARTED,20211015082510,,,
2021-10-15 08:30:57, , , ,RUNNING,STARTED,20211015083057,,,
2021-10-15 08:33:48, , , ,RUNNING,STARTED,20211015083348,,,
2021-10-15 08:36:16, , , ,RUNNING,STARTED,20211015083616,,,
2021-10-15 08:41:54, , , ,RUNNING,STARTED,20211015084154,,,
2021-10-15 08:43:16, , , ,RUNNING,STARTED,20211015084316,,,
2021-10-15 08:48:32, , , ,RUNNING,STARTED,20211015084832,,,
2021-10-15 08:54:17, , , ,IDLE/STOP,STARTED,20211015085417,,,
2021-10-15 08:54:30, , , ,READY,STARTED,20211015085430,,,
2021-10-15 08:54:38, , , ,RUNNING,STARTED,20211015085438,,,
2021-10-15 09:05:28, , , ,RUNNING,STARTED,20211015090528,,,
2021-10-15 09:05:46, , , ,RUNNING,STARTED,20211015090546,,,
2021-10-15 09:12:31, , , ,RUNNING,STARTED,20211015091231,,,
2021-10-15 09:14:08, , , ,RUNNING,STARTED,20211015091408,,,
2021-10-15 09:16:13, , , ,RUNNING,STARTED,20211015091613,,,
2021-10-15 09:21:07, , , ,RUNNING,STARTED,20211015092107,,,
2021-10-15 09:21:31, , , ,IDLE/STOP,STARTED,20211015092131,,,
2021-10-15 09:21:43, , , ,READY,STARTED,20211015092143,,,
2021-10-15 09:29:19, , , ,RUNNING,STARTED,20211015092919,,,
2021-10-15 09:38:12, , , ,IDLE/STOP,STARTED,20211015093812,,,
2021-10-15 09:38:30, , , ,READY,STARTED,20211015093830,,,
2021-10-15 09:40:22, , , ,RUNNING,STARTED,20211015094022,,,
2021-10-15 09:44:49, , , ,RUNNING,STARTED,20211015094449,,,
2021-10-15 09:45:32, , , ,RUNNING,STARTED,20211015094532,,,
2021-10-15 09:50:45, , , ,IDLE/STOP,STARTED,20211015095045,,,
2021-10-15 09:51:13, , , ,RUNNING,STARTED,20211015095113,,,
2021-10-15 09:54:51, , , ,READY,STARTED,20211015095451,,,
2021-10-15 09:56:01, , , ,RUNNING,STARTED,20211015095601,,,
2021-10-15 10:06:19, , , ,RUNNING,STARTED,20211015100619,,,
2021-10-15 10:08:25, , , ,RUNNING,STARTED,20211015100825,,,
2021-10-15 10:11:19, , , ,RUNNING,STARTED,20211015101119,,,
2021-10-15 10:13:19, , , ,READY,STARTED,20211015101319,,,
2021-10-15 10:13:25, , , ,RUNNING,STARTED,20211015101325,,,
2021-10-15 10:25:37, , , ,IDLE/STOP,STARTED,20211015102537,,,
2021-10-15 10:25:49, , , ,READY,STARTED,20211015102549,,,
2021-10-15 10:35:27, , , ,RUNNING,STARTED,20211015103527,,,
2021-10-15 10:36:43, , , ,IDLE/STOP,STARTED,20211015103643,,,
2021-10-15 10:36:55, , , ,READY,STARTED,20211015103655,,,
2021-10-15 10:37:38, , , ,RUNNING,STARTED,20211015103738,,,
2021-10-15 10:37:55, , , ,RUNNING,STARTED,20211015103755,,,
2021-10-15 10:40:40, , , ,RUNNING,STARTED,20211015104040,,,
2021-10-15 10:41:52, , , ,ERROR,STARTED,20211015104152,2009, ,L/FPUSHER
2021-10-15 10:45:10, , , ,READY,STARTED,20211015104510,,,
2021-10-15 10:45:28, , , ,RUNNING,STARTED,20211015104528,,,
2021-10-15 10:46:22, , , ,RUNNING,STARTED,20211015104622,,,
2021-10-15 10:47:28, , , ,RUNNING,STARTED,20211015104728,,,
2021-10-15 10:51:10, , , ,RUNNING,STARTED,20211015105110,,,
2021-10-15 10:55:16, , , ,RUNNING,STARTED,20211015105516,,,
2021-10-15 11:08:18, , , ,IDLE/STOP,STARTED,20211015110818,,,
2021-10-15 11:08:19, , , ,RUNNING,STARTED,20211015110819,,,
2021-10-15 11:08:32, , , ,READY,STARTED,20211015110832,,,
2021-10-15 11:09:03, , , ,RUNNING,STARTED,20211015110903,,,
2021-10-15 11:10:32, , , ,RUNNING,STARTED,20211015111032,,,
2021-10-15 11:12:35, , , ,RUNNING,STARTED,20211015111235,,,
2021-10-15 11:16:10, , , ,ERROR,STARTED,20211015111610,2041, ,TABCLOG
2021-10-15 11:18:46, , , ,READY,STARTED,20211015111846,,,
2021-10-15 11:18:58, , , ,RUNNING,STARTED,20211015111858,,,
2021-10-15 11:25:41, , , ,IDLE/STOP,STARTED,20211015112541,,,
2021-10-15 11:26:47, , , ,RUNNING,STARTED,20211015112647,,,
2021-10-15 11:28:32, , , ,IDLE/STOP,STARTED,20211015112832,,,
2021-10-15 11:30:20, , , ,READY,STARTED,20211015113020,,,
2021-10-15 11:36:19, , , ,IDLE/STOP,STARTED,20211015113619,,,
2021-10-15 11:36:37, , , ,READY,STARTED,20211015113637,,,
2021-10-15 11:38:38, , , ,RUNNING,STARTED,20211015113838,,,
2021-10-15 11:46:29, , , ,IDLE/STOP,STARTED,20211015114629,,,
2021-10-15 11:46:41, , , ,READY,STARTED,20211015114641,,,
2021-10-15 11:52:31, , , ,RUNNING,STARTED,20211015115231,,,
2021-10-15 11:55:44, , , ,ERROR,STARTED,20211015115544,2027, ,LOADERTABCOUNT
2021-10-15 11:56:38, , , ,RUNNING,STARTED,20211015115638,,,
2021-10-15 12:23:48, , , ,IDLE/STOP,STARTED,20211015122348,,,
2021-10-15 12:24:03, , , ,READY,STARTED,20211015122403,,,
2021-10-15 12:26:59, , , ,RUNNING,STARTED,20211015122659,,,
2021-10-15 12:45:27, , , ,IDLE/STOP,STARTED,20211015124527,,,
2021-10-15 12:46:15, , , ,IDLE/STOP,STARTED,20211015124615,,,
2021-10-15 12:47:21, , , ,READY,STARTED,20211015124721,,,
2021-10-15 12:53:15, , , ,READY,STARTED,20211015125315,,,
2021-10-15 12:53:34, , , ,RUNNING,STARTED,20211015125334,,,
2021-10-15 13:05:14, , , ,IDLE/STOP,STARTED,20211015130514,,,
2021-10-15 13:05:22, , , ,READY,STARTED,20211015130522,,,
2021-10-15 13:08:11, , , ,RUNNING,STARTED,20211015130811,,,
2021-10-15 13:35:31, , , ,RUNNING,STARTED,20211015133531,,,
2021-10-15 13:38:58, , , ,IDLE/STOP,STARTED,20211015133858,,,
2021-10-15 13:39:13, , , ,READY,STARTED,20211015133913,,,
2021-10-15 13:44:26, , , ,RUNNING,STARTED,20211015134426,,,
2021-10-15 13:52:34, , , ,IDLE/STOP,STARTED,20211015135234,,,
2021-10-15 13:52:44, , , ,READY,STARTED,20211015135244,,,
2021-10-15 14:18:51, , , ,NORMALCLEANING,STARTED,20211015141851,,,
